Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61811669;2024-07-15 16:46:49;HPD;DOOR/WINDOW;1426 LORING AVENUE;Closed;BROOKLYN;40.66827900466744;-73.85883483894747
61811679;2024-07-15 10:06:15;HPD;GENERAL;511 EAST   11 STREET;Closed;MANHATTAN;40.72823843448996;-73.98127097440101
61811680;2024-07-15 15:49:54;HPD;GENERAL;2010 POWELL AVENUE;Closed;BRONX;40.830479560431925;-73.85622502935952
61811681;2024-07-15 21:26:12;HPD;GENERAL;53 EAST  131 STREET;Closed;MANHATTAN;40.8093300190546;-73.93738668006867
61811686;2024-07-15 20:51:15;HPD;GENERAL;2970 CROSS BRONX EXPRESSWAY;Closed;BRONX;40.82326521272622;-73.82191218621062
61811682;2024-07-15 18:47:51;HPD;GENERAL;880 TINTON AVENUE;Closed;BRONX;40.821290259404606;-73.90370201633748
61811698;2024-07-15 11:02:31;HPD;FLOORING/STAIRS;861 48 STREET;Closed;BROOKLYN;40.641472240243615;-74.001264754329
61811702;2024-07-15 17:26:02;HPD;SAFETY;710 EAST  235 STREET;Closed;BRONX;40.894699865852346;-73.85604633598129
61811703;2024-07-15 17:13:46;HPD;GENERAL;737 EAST  219 STREET;Closed;BRONX;40.8832119473051;-73.8616368427983
61811705;2024-07-15 13:32:24;HPD;GENERAL;1019 VAN SICLEN AVENUE;Closed;BROOKLYN;40.65503989714099;-73.88232145462146
61811712;2024-07-15 15:34:39;HPD;PAINT/PLASTER;137 WEST  144 STREET;Closed;MANHATTAN;40.8204906095892;-73.93841671810773
61811707;2024-07-15 11:58:50;HPD;PAINT/PLASTER;1131 3 AVENUE;Closed;MANHATTAN;40.76600460713779;-73.96332213328154
61811713;2024-07-15 17:42:17;HPD;PAINT/PLASTER;684A MYRTLE AVENUE;Closed;BROOKLYN;40.6945424784366;-73.9563763193143
61811717;2024-07-15 15:13:24;HPD;PAINT/PLASTER;3018 HEATH AVENUE;Closed;BRONX;40.87628246342609;-73.9028304631379
61811716;2024-07-15 11:02:29;HPD;PAINT/PLASTER;20 JORALEMON STREET;Closed;BROOKLYN;40.69381514290194;-73.9988929219376
61811734;2024-07-15 13:43:17;HPD;UNSANITARY CONDITION;80 WOODRUFF AVENUE;Closed;BROOKLYN;40.653488517173436;-73.9632146069062
61811736;2024-07-15 19:09:04;HPD;PAINT/PLASTER;109 ELDRIDGE STREET;Closed;MANHATTAN;40.71812524637479;-73.99199510664727
61811727;2024-07-15 17:13:46;HPD;UNSANITARY CONDITION;737 EAST  219 STREET;Closed;BRONX;40.8832119473051;-73.8616368427983
61811739;2024-07-15 21:46:00;HPD;UNSANITARY CONDITION;751 GERARD AVENUE;Closed;BRONX;40.82493553386665;-73.92645644504721
61811740;2024-07-15 12:55:36;HPD;UNSANITARY CONDITION;4360 BAYCHESTER AVENUE;Closed;BRONX;40.89817219352304;-73.84565742389341
61811748;2024-07-15 13:43:17;HPD;UNSANITARY CONDITION;80 WOODRUFF AVENUE;Closed;BROOKLYN;40.653488517173436;-73.9632146069062
61811747;2024-07-15 23:30:55;HPD;UNSANITARY CONDITION;1784 LINDEN BOULEVARD;Closed;BROOKLYN;40.65774615749246;-73.89649548777841
61811744;2024-07-15 12:32:44;HPD;PAINT/PLASTER;996 PARK PLACE;Closed;BROOKLYN;40.67308127397223;-73.94407929191749
61811755;2024-07-15 19:05:57;HPD;PLUMBING;109 ELDRIDGE STREET;Closed;MANHATTAN;40.71812524637479;-73.99199510664727
61811753;2024-07-15 15:38:03;HPD;UNSANITARY CONDITION;603 WEST  140 STREET;Closed;MANHATTAN;40.82345086862661;-73.95318812162448
61811756;2024-07-15 13:38:51;HPD;PLUMBING;2260 WASHINGTON AVENUE;Closed;BRONX;40.85481891380235;-73.89349213141107
61811754;2024-07-15 07:30:58;HPD;WATER LEAK;1484 PARK PLACE;Closed;BROOKLYN;40.67221889751427;-73.92830114551003
61811758;2024-07-15 09:43:26;HPD;WATER LEAK;2411 FREDERICK DOUGLAS BOULEVARD;Closed;MANHATTAN;40.81282713425973;-73.94923983376826
61811757;2024-07-15 10:13:14;HPD;WATER LEAK;2067 RYER AVENUE;Closed;BRONX;40.852231942489105;-73.90110162071166
61811770;2024-07-15 22:15:17;HPD;PLUMBING;23-01 42 ROAD;Closed;QUEENS;40.75043042472849;-73.9420545760926
